KF utilisée  pr S&OP?;Domaine fonctionnel;type de KF;Priorité;"Statut Configuration (TWM)
Open / WIP / On Hold / Done";Mode alimentation;Commentaire;ID;Name;To be rename;Description;Detailed explanation of the KF (EN);Explication detaillée de la KF (FR);Base Planning Level;stored or calculated;Stored Key Figure;Calculated Key Figure;type de chargement;Source de la donnée;Editable Y/N;règle;commentaires;KF snapshoté?;Count
KF existante à reprendre pour S&OP;Demand Review;partagée;1;Done;;;ZSOPZFORECASTQTY;Usual sales forecast;Baseline Fcst_S;Usual sales forecast;TESTGTRbaseline forecast issued from IBP without any additional elements;prévision font de rayon issue d'IBP sans événements additionnels;WKPRODCUST;stored;X;;;;;;;;1
KF à créer pour S&OP;Demand Review;unique S&OP;2;Done;;;ZSOPGORWTHPCTVSCOMBUDGET;% croissance vs budget commercial;Cons. Landing fcst vs Sales Bud. %;current year consensus / budget commercial;calculation of growth % vs sales budget by comparing Consensus current Year and sales budget;calcul du % de croissance en comparant le Consensus de l'année en cours avec le budget commercial;WKPRODLOC;calculated;;X;;;Not editable;current year consensus / Budget commercial;;;1
KF existante à reprendre pour S&OP;Demand Review;partagée;1;Done;;;ZSOPZHISTOACTQTY;Histo des quantités livrées;Delivered Qty N_S;Histo des quantités livrées;Volume actually delivered to our customer in current year;historique quantités livrées sur l'année en cours;WKPRODLOCCUST;stored;X;;;;;;;;1
KF existante à reprendre pour S&OP;Demand Review;partagée;1;Done;;S&OP version;ZHISTOACTQTY1YEAROFFSET;Histo. des quantités livrées N-1;Delivered Qty N-1;Historique des quantités livrées N-1;Volume actually delivered to our customer in year-1;historique quantités livrées sur l'année N-1;WKPRODCUST;calculated;;X;;;;;;;1
KF existante à reprendre pour S&OP;Demand Review;partagée;1;Done;;S&OP version;ZHISTOACTQTY2YEAROFFSET;Histo. des quantités livrées N-2;Delivered Qty N-2;Historique des quantités livrées N-2;Volume actually delivered to our customer in year-2;historique quantités livrées sur l'année N-2;WKPRODCUST;calculated;;X;;;;;;;1
KF à créer pour S&OP;Demand Review;unique S&OP;1;Done;;Cop Op à créer;ZSOPDEMANDREVIEWFCST;Prévision Demand Review;DR Fcst;prévision finale issue du cycle de DR;Output of the Demand Review Process that will be used as demand input for the supply review process. This forecast will be snapshoted for accuracy calculations. This key figure will be no more editable for the rest of the running S&OP cycle once DR is completed;Résultat du processus de Demand Review qui servira de donnée d'entrée pour le processus de Supply Review. Cette prévision sera stockée pour permettre des calculs de fiabilité. Cette Key Figure ne sera plus editable en cours de cycle une fois la réunion de DR terminée et validée.;WKPRODCUST;stored;;X;;;Not editable;stockée. Via copy operator;;;1
KF à créer pour S&OP;Demand Review;unique S&OP;1;Done;;;ZSOPDEMANDREVIEWFCSTADJPCT;Prévision Demand Review forcée %;DR Fcst - Adj %;;% entered manually (only possible for the months to come) that will be added / deducted from the DR Fcst In-prep quantity (Fcst MTC + high Risks & Opps) at the level you have entered your volume;Volume saisi manuellement (uniquement possible pour les mois à venir) qui va venir s'ajouter / se déduire de la prévision DR Fcst au niveau où vous avez saisi votre volume;WKPRODCUST;stored;X;;manuel;saisie;Editable;;La KF d destination (Prévision demand review InPrep ou Prevision Demand review) sera choisie en fonction du job à operer;;1
KF à créer pour S&OP;Demand Review;unique S&OP;1;Done;;;ZSOPDEMANDREVIEWFCSTADJ;Prévision Demand Review forcée Qty;DR Fcst - Adj Qty;;Volume entered manually (only possible for the months to come) that will overrides the DR Fcst In-prep quantity at the level you have entered your volume;Volume saisi manuellement (uniquement possible pour les mois à venir) qui va venir écraser la prévision DR Fcst au niveau où vous avez saisi votre volume;WKPRODCUST;stored;X;;manuel;saisie;Editable;;La KF d destination (Prévision demand review InPrep ou Prévision Demand review) sera choisie en fonction du job à opérer;;1
KF à créer pour S&OP;Demand Review;unique S&OP;2;Done;;;ZSOPDEMANDREVIEWFCSTLAG;Prévision Demand Review - Snapshot M à M+12 (glissant);DR Fcst - Snapshot;Photo Prévision DR chaque mois pour comparatif mois M;This KF is to be used in combination with attribute LAG. For each LAG attribute, it will be a picture taken X months before the time and that will be used to calculate accuracy. LAG 1 = -1 month, LAG 2 = -2 months ....;Cette KF sera utilisée en combinaison avec l'attribut LAG. Pour chaque valeur d'attribut LAG, une photo de la Demand Review forecast sera prise X mois avant et cette photo sera utilisée pour procéder aux calculs de fiabilité. LAG 1 = -1 mois, LAG 2 = -2 mois ....;;stored;X;;;;Not editable;sur 12 mois futurs glissant;Lag de 12 mois;;1
KF à créer pour S&OP;Demand Review;unique S&OP;2;Done;;;ZSOPACCDRFCSTABS;Fiabilité Prévision DR (ecart absolu);DR Fcst ABS gap;indicateur de fiabilité de la Prévision Demand Review en écart absolu;Gap in absolute qty between the Demand Review Forecast and the Historical Ordered Quantities;C'est la différence en écart absolu entre la Prévision Demand Review et l'historique des quantités commandées.;WKPRODCUST;calculated;;X;;;Not editable;ABS(Prevision Demand Review  - histo commandé);niveau de calcul d'écart à définir : Mois - Famille PLT 2 - Lag - Large Sales Area;;1
